Date,VIX,DIX,GEX,DIX Diff.,GEX Diff.,SP500 EWM20 Diff.,Actual,Advisor,Strong Sell,Sell,Hold,Buy,Strong Buy
2020-01-28,16.28,0.4364531415296925,1618532887.48,0.012396133026855716,980618596.765,4.442984938586051,Strong Sell,Unsure,0.23455414175987244,0.12086192518472672,0.23869752883911133,0.301173597574234,0.1047128364443779
2020-01-29,16.39,0.4495009717244063,1747056326.255,0.013047830194713783,128523438.7750001,1.4503197063399966,Strong Sell,Unsure,0.18815752863883972,0.16998060047626495,0.18296454846858978,0.318485289812088,0.1404120773077011
2020-01-30,15.49,0.43703511634848863,2070348731.46,-0.012465855375917656,323292405.2049999,10.595051162878462,Strong Sell,Unsure,0.15271705389022827,0.19493067264556885,0.21993619203567505,0.3347625732421875,0.09765345603227615
2020-01-31,18.84,0.4245688077397517,1546000851.2088,-0.012466308608736931,-524347880.25119996,-43.01685847168119,Strong Sell,Unsure,0.216171994805336,0.17224009335041046,0.1986350566148758,0.23416659235954285,0.17878621816635132
2020-02-03,17.97,0.4081356756099931,1886168623.79,-0.01643313212975861,340167772.5811999,-17.74858623628279,Strong Sell,Unsure,0.26865559816360474,0.14279301464557648,0.22676528990268707,0.24701738357543945,0.11476869136095047
2020-02-04,16.05,0.3892757757028775,3359119024.26,-0.018859899907115563,1472950400.4700003,27.976517214791784,Strong Sell,Unsure,0.28538191318511963,0.20097211003303528,0.21747978031635284,0.1662605106830597,0.12990570068359375
2020-02-05,15.15,0.4103631469306881,4067938357.195,0.02108737122781057,708819332.935,58.87875367052584,Strong Sell,Unsure,0.16022340953350067,0.2511409819126129,0.33500227332115173,0.1539611667394638,0.09967213869094849
2020-02-06,14.96,0.4185948728444519,5336330666.12,0.00823172591376381,1268392308.9249997,63.30506284476132,Strong Sell,Unsure,0.21515490114688873,0.2386000007390976,0.2579513192176819,0.1750008761882782,0.11329292505979538
2020-02-07,15.47,0.4309279055121234,4120952063.89,0.012333032667671495,-1215378602.23,40.91791400240254,Strong Sell,Unsure,0.15720658004283905,0.2795415222644806,0.26604869961738586,0.18625952303409576,0.11094366759061813
2020-02-10,15.04,0.4099419814244324,5361523681.94,-0.02098592408769101,1240571618.0499997,59.09716028788807,Strong Sell,Unsure,0.15953290462493896,0.22526288032531738,0.36266401410102844,0.15329764783382416,0.09924258291721344
2020-02-11,15.18,0.42407349204067296,5722246613.725,0.014131510616240572,360722931.7850008,58.580764069994075,Strong Sell,Unsure,0.15859641134738922,0.24859076738357544,0.33160051703453064,0.16255226731300354,0.09866002202033997
2020-02-12,13.74,0.40896919524653336,7967208231.825,-0.015104296794139604,2244961618.0999994,72.63497701570896,Strong Sell,Strong Sell,0.4098511040210724,0.10706515610218048,0.22889162600040436,0.18641091883182526,0.06778118014335632
2020-02-13,14.15,0.4238629293252256,7211357199.895,0.014893734078692267,-755851031.9299994,60.73212206183234,Strong Sell,Unsure,0.1881893128156662,0.15756183862686157,0.29156145453453064,0.26597556471824646,0.09671182185411453
2020-02-14,13.68,0.4321815294267773,5770086242.8,0.008318600101551665,-1441270957.0950003,60.55763424641964,Strong Sell,Strong Sell,0.4161626100540161,0.1349755823612213,0.257612407207489,0.10579859465360641,0.08545081317424774
2020-02-18,14.83,0.40837441278936143,5660220154.705,-0.02380711663741586,-109866088.09500027,45.87833574676051,Strong Sell,Unsure,0.21070179343223572,0.22787179052829742,0.27495893836021423,0.17826855182647705,0.10819891840219498
2020-02-19,14.38,0.4168811307975447,6381535398.14,0.008506718008183256,721315243.4350004,55.83135138992611,Strong Sell,Hold,0.1503588855266571,0.20779694616794586,0.4210154712200165,0.12216175347566605,0.09866690635681152
2020-02-20,15.56,0.4253121493672236,4437306750.29,0.008431018569678927,-1944228647.8500004,38.85169887660004,Strong Sell,Unsure,0.1856052577495575,0.2909255623817444,0.21416275203227997,0.193844735622406,0.11546172946691513
2020-02-21,17.08,0.4209100953341571,1322774452.925,-0.004402054033066538,-3114532297.365,2.9872513645427716,Strong Sell,Unsure,0.23729905486106873,0.13377131521701813,0.16270025074481964,0.36029112339019775,0.10593825578689575
2020-02-24,25.03,0.3812108830345568,-773233389.695,-0.03969921229960027,-2096007842.62,-98.4405820987472,Strong Sell,Unsure,0.1921597719192505,0.15447783470153809,0.17250116169452667,0.23819877207279205,0.24266240000724792
2020-02-25,27.85,0.3938587099817336,-1631927245.395,0.01264782694717681,-858693855.6999999,-177.3881457083903,Strong Sell,Unsure,0.22771145403385162,0.23074938356876373,0.09004327654838562,0.14727622270584106,0.30421969294548035
2020-02-26,27.56,0.3988901850853517,-1624169660.48,0.005031475103618066,7757584.914999962,-171.2064175456867,Strong Sell,Unsure,0.25723838806152344,0.1609032154083252,0.0947837382555008,0.1487681120634079,0.33830657601356506
2020-02-27,39.16,0.3618779294356905,-2958422908.85,-0.03701225564966115,-1334253248.37,-279.6405682556215,Strong Buy,Unsure,0.16447655856609344,0.2602723240852356,0.12211062014102936,0.17442016303539276,0.27872034907341003
2020-02-28,40.11,0.3804133117028765,-1423445495.335,0.018535382267185985,1534977413.5149999,-275.0390855646101,Strong Buy,Strong Buy,0.11573433876037598,0.16003531217575073,0.11320541799068451,0.14009469747543335,0.4709302484989166
2020-03-02,33.42,0.4484957271528808,-132090238.964,0.06808241545000426,1291355256.371,-125.7520297965516,Strong Sell,Unsure,0.1339394450187683,0.12558843195438385,0.15399636328220367,0.24157892167568207,0.3448968231678009
2020-03-03,36.82,0.4569051671550912,-1094764736.135,0.008409440002210444,-962674497.171,-192.39040791116622,Strong Sell,Strong Buy,0.161504328250885,0.1288333684206009,0.11990397423505783,0.16985280811786652,0.41990551352500916
